Year,Athlete,Country/State,Time,Notes
1897,"McDermott, John J.John J. McDermott",United States United States (NY),2:55:10,
1898,"MacDonald, Ronald J.Ronald J. MacDonald",Canada Canada,2:42:00,
1899,"Brignolia, LawrenceLawrence Brignolia",United States United States (MA),2:54:38,
1900,"Caffery, JohnJohn ""Jack"" Caffery",Canada Canada,2:39:44,
1901,"Caffery, JohnJohn ""Jack"" Caffery",Canada Canada,2:29:23,2nd victory
1902,"Mellor, SammySammy Mellor",United States United States (NY),2:43:12,
1903,"Lorden, JohnJohn Lorden",United States United States (MA),2:41:29,
1904,"Spring, MichaelMichael Spring",United States United States (NY),2:38:04,
1905,"Lorz, FrederickFrederick Lorz",United States United States (NY),2:38:25,
1906,"Ford, TimTim Ford",United States United States (MA),2:45:45,
1907,"Longboat, ThomasThomas Longboat",Canada Canada,2:24:24,
1908,"Morrissey, ThomasThomas Morrissey",United States United States (NY),2:25:43,
1909,"Renaud, HenriHenri Renaud",United States United States (NH),2:53:36,
1910,"Cameron, FredFred Cameron",Canada Canada,2:28:52,
1911,"DeMar, ClarenceClarence DeMar",United States United States (MA),2:21:39,
1912,"Ryan, MichaelMichael J. Ryan",United States United States (NY),2:21:18,
1913,"Carlson, FritzFritz Carlson",United States United States (MN),2:25:14,
1914,"Duffy, JamesJames Duffy",Canada Canada,2:25:14,
1915,"Fabre, ÉdouardÉdouard Fabre",Canada Canada,2:31:41,
1916,"Roth, ArthurArthur Roth",United States United States (MA),2:27:16,
1917,"Kennedy, BillBill Kennedy",United States United States (NY),2:28:37,
1918,Camp Devens relay team,United States United States (MA),2:29:53,1918 race was relay for 10-man military teams
1919,"Linder, CarlCarl Linder",United States United States (MA),2:29:13,
1920,"Trivoulides, PeterPeter Trivoulides",Greece Greece,2:29:31,Represented Greece at Olympic Games later that year
1921,"Zuna, FrankFrank Zuna",United States United States (NY),2:18:57,
1922,"DeMar, ClarenceClarence DeMar",United States United States (MA),2:18:10,2nd victory
1923,"DeMar, ClarenceClarence DeMar",United States United States (MA),2:23:47,3rd victory
1924,"DeMar, ClarenceClarence DeMar",United States United States (MA),2:29:40,4th victory
1925,"Mellor, CharlesCharles Mellor",United States United States (IL),2:33:00,
1926,"Miles, JohnnyJohnny Miles",Canada Canada,2:25:40,
1927,"DeMar, ClarenceClarence DeMar",United States United States (MA),2:40:22,5th victory
1928,"DeMar, ClarenceClarence DeMar",United States United States (MA),2:37:07,6th victory
1929,"Miles, JohnnyJohnny Miles",Canada Canada,2:33:08,2nd victory
1930,"DeMar, ClarenceClarence DeMar",United States United States (MA),2:34:48,7th victory
1931,"Henigan, JamesJames Henigan",United States United States (MA),2:46:45,
1932,"DeBruyn, PaulPaul de Bruyn",Germany Germany,2:33:36,
1933,"Pawson, Leslie S.Leslie S. Pawson",United States United States (RI),2:31:01,
1934,"Komonen, DaveDave Komonen",Canada Canada,2:32:53,
1935,"Kelley, John A.John A. Kelley",United States United States (MA),2:32:07,
1936,"Brown, EllisonEllison Brown",United States United States (RI),2:33:40,
1937,"Young, WalterWalter Young",Canada Canada,2:33:20,
1938,"Pawson, Leslie S.Leslie S. Pawson",United States United States (RI),2:35:34,2nd victory
1939,"Brown, EllisonEllison Brown",United States United States (RI),2:28:51,2nd victory
1940,"Côté, GérardGérard Côté",Canada Canada,2:28:28,
1941,"Pawson, Leslie S.Leslie S. Pawson",United States United States (RI),2:30:38,3rd victory
1942,"Smith, JoeJoe Smith",United States United States (MA),2:26:51,
1943,"Côté, GérardGérard Côté",Canada Canada,2:28:25,2nd victory
1944,"Côté, GérardGérard Côté",Canada Canada,2:31:50,3rd victory
1945,"Kelley, John A.John A. Kelley",United States United States (MA),2:30:40,2nd victory
1946,"Kyriakides, StylianosStylianos Kyriakides",Greece Greece,2:29:27,
1947,Suh Yun-bok,South Korea,2:25:39,
1948,"Côté, GérardGérard Côté",Canada Canada,2:31:02,4th victory
1949,"Leandersson, KarlGösta Leandersson",Sweden,2:31:50,
1950,Ham Kee-Yong,South Korea,2:32:39,
1951,"Tanaka, ShigekiShigeki Tanaka",Japan,2:27:45,
1952,"Florea, DoroteoDoroteo Flores",Guatemala,2:31:53,Only Guatemalan to ever win the marathon
1953,"Yamada, KeizoKeizo Yamada",Japan,2:18:51,
1954,"Karvonen, VeikkoVeikko Karvonen",Finland,2:20:39,
1955,"Hamamura, HideoHideo Hamamura",Japan,2:18:22,
1956,"Viskari, AnttiAntti Viskari",Finland,2:14:14,
1957,"Kelley, John J.John J. Kelley",United States United States (CT),2:20:05,
1958,"Mihalić, FranjoFranjo Mihalić",Yugoslavia,2:25:54,
1959,"Oksanen, EinoEino Oksanen",Finland,2:22:42,
1960,"Kotila, PaavoPaavo Kotila",Finland,2:20:54,
1961,"Oksanen, EinoEino Oksanen",Finland,2:23:39,2nd victory
1962,"Oksanen, EinoEino Oksanen",Finland,2:23:48,3rd victory
1963,"Vandendriessche, AurèleAurèle Vandendriessche",Belgium,2:18:58,
1964,"Vandendriessche, AurèleAurèle Vandendriessche",Belgium,2:19:59,2nd victory
1965,"Shigematsu, MorioMorio Shigematsu",Japan,2:16:33,
1966,"Kimihara, KenjiKenji Kimihara",Japan,2:17:11,
1967,"McKenzie, DaveDave McKenzie",New Zealand,2:15:45,
1968,"Burfoot, AmbyAmby Burfoot",United States United States (CT),2:22:17,
1969,"Unetani, YoshiakiYoshiaki Unetani",Japan,2:13:49,
1970,Ron Hill,United Kingdom,2:10:30,
1971,"Mejia, AlvaroÁlvaro Mejía",Colombia,2:18:45,
1972,"Suomalainen, OlaviOlavi Suomalainen",Finland,2:15:39,
1973,"Anderson, JonJon Anderson",United States United States (OR),2:16:03,
1974,"Cusack, NeilNeil Cusack",Ireland,2:13:39,
1975,"Rodgers, BillBill Rodgers",United States United States (MA),2:09:55,
1976,"Fultz, JackJack Fultz",United States United States (VA),2:20:19,
1977,"Drayton, JeromeJerome Drayton",Canada,2:14:46,
1978,"Rodgers, BillBill Rodgers",United States United States (MA),2:10:13,2nd victory
1979,"Rodgers, BillBill Rodgers",United States United States (MA),2:09:27,3rd victory
1980,"Rodgers, BillBill Rodgers",United States United States (MA),2:12:11,4th victory
1981,"Seko, ToshihikoToshihiko Seko",Japan,2:09:26,
1982,"Salazar, AlbertoAlberto Salazar",United States United States (MA),2:08:52,
1983,"Meyer, GregGreg Meyer",United States United States (MI),2:09:00,
1984,"Smith, GeoffGeoff Smith",United Kingdom,2:10:34,
1985,"Smith, GeoffGeoff Smith",United Kingdom,2:14:05,2nd victory
1986,"de Castella, RobertRobert de Castella",Australia,2:07:51,
1987,"Seko, ToshihikoToshihiko Seko",Japan,2:11:50,2nd victory
1988,"Hussein, IbrahimIbrahim Hussein",Kenya,2:08:43,
1989,"Mekonnen, AbebeAbebe Mekonnen",Ethiopia,2:09:06,
1990,"Bordin, GelindoGelindo Bordin",Italy,2:08:19,
1991,"Hussein, IbrahimIbrahim Hussein",Kenya,2:11:06,2nd victory
1992,"Hussein, IbrahimIbrahim Hussein",Kenya,2:08:14,3rd victory
1993,"Ndeti, CosmasCosmas Ndeti",Kenya,2:09:33,
1994,"Ndeti, CosmasCosmas Ndeti",Kenya,2:07:15,"2nd victory,"
1995,"Ndeti, CosmasCosmas Ndeti",Kenya,2:09:22,3rd victory
1996,"Tanui, MosesMoses Tanui",Kenya,2:09:15,
1997,"Aguta, LameckLameck Aguta",Kenya,2:10:34,
1998,"Tanui, MosesMoses Tanui",Kenya,2:07:34,2nd victory
1999,"Chebet, JosephJoseph Chebet",Kenya,2:09:52,
2000,"Lagat, ElijahElijah Lagat",Kenya,2:09:47,
2001,Lee Bong-Ju,South Korea,2:09:43,
2002,"Rop, RodgersRodgers Rop",Kenya,2:09:02,
2003,"Cheruiyot, Robert KipkoechRobert Kipkoech Cheruiyot",Kenya,2:10:11,
2004,"Cherigat, TimothyTimothy Cherigat",Kenya,2:10:37,
2005,"Negussie, HailuHailu Negussie",Ethiopia,2:11:44,
2006,"Cheruiyot, Robert KipkoechRobert Kipkoech Cheruiyot",Kenya,2:07:14,2nd victory
2007,"Cheruiyot, Robert KipkoechRobert Kipkoech Cheruiyot",Kenya,2:14:13,3rd victory
2008,"Cheruiyot, Robert KipkoechRobert Kipkoech Cheruiyot",Kenya,2:07:45,4th victory
2009,"Merga, DeribaDeriba Merga",Ethiopia,2:08:42,
2010,"Cheruiyot, Robert KipronoRobert Kiprono Cheruiyot",Kenya,2:05:52,
2011,"Mutai, GeoffreyGeoffrey Mutai",Kenya,2:03:02,Current men's course record
2012,"Korir, WesleyWesley Korir",Kenya,2:12:40,
2013,"Desisa Benti, LelisaLelisa Desisa Benti",Ethiopia,2:10:22,
2014,"Meb, KeflezighiMeb Keflezighi",United States (CA),2:08:37,First American win since 1983
2015,"Desisa Benti, LelisaLelisa Desisa Benti",Ethiopia,2:09:17,2nd victory
2016,"Lemi, Berhanu HayleLemi Berhanu Hayle",Ethiopia,2:12:45,
2017,Geoffrey Kirui,Kenya,2:09:37,
